,1,2,3
559,3025,2752,109
560,827,3475,1435
561,1797,109,3486
562,3483,3253,827
563,1797,109,2752
564,3025,2752,109
565,827,3475,1435
566,3472,3025,1435
567,1797,3483,827
568,827,3475,109
569,3483,1797,3253
570,3472,3025,1435
571,1797,109,2752
572,1797,109,3486
573,109,827,1797
574,3483,827,3253
575,3483,3253,827
576,827,3475,1400
577,109,1797,2752
578,3025,2752,2315
579,3483,827,1797
580,3025,2752,2315
581,3472,3025,827
582,827,3475,3253
583,3025,2752,109
584,3025,2752,2315
585,1797,109,3486
586,827,3475,3253
587,827,3475,3253
588,827,3475,3253
589,109,1797,827
590,3483,1797,3168
591,3025,109,2752
592,1797,109,2752
593,1797,109,3486
594,3483,827,3253
595,1797,109,2752
596,827,1797,109
597,1797,3483,109
598,3472,827,3475
599,827,3483,3475
600,3483,1797,3253
601,3483,1797,3253
602,3483,1797,3253
603,1797,3483,109
604,827,3475,3472
605,3483,1797,827
606,2752,3025,109
607,3025,2752,109
608,3483,827,3475
609,1797,2752,109
610,827,3475,3253
611,827,3483,3475
612,1797,109,827
613,827,3475,3253
614,3483,3253,1797
615,3025,2752,109
616,3483,1797,3253
617,109,827,1797
618,3472,3025,2752
619,827,3475,3472
620,3472,3025,2752
621,1797,109,2752
622,1797,109,3486
623,1797,109,827
624,3025,3472,2752
625,1797,3483,3484
626,1797,3483,109
627,3483,3253,3168
628,827,3483,3475
629,827,3475,1435
630,3483,1797,3253
631,827,3475,3253
632,3025,109,2752
633,3472,3025,1435
634,1797,109,3486
635,827,3475,3483
636,1797,109,2752
637,3025,3472,2752
638,827,3475,3253
639,3483,827,3475
640,2752,3025,109
641,3472,1435,3475
642,3483,827,3475
643,109,827,3025
644,1797,3483,109
645,827,109,3025
646,827,3475,3253
647,827,3475,3472
648,3472,3025,827
649,1797,827,109
650,827,3475,3253
651,3483,3253,827
652,827,3475,3253
653,3483,3253,827
654,3483,3253,827
655,3025,109,2752
656,827,109,3475
657,3483,1797,3253
658,3025,109,2752
659,3472,3025,2752
660,3483,827,3475
661,827,3475,109
662,1797,3483,827
663,1797,827,109
664,1797,109,3486
665,827,3475,3472
666,3483,3253,827
667,827,1797,3475
668,3483,3253,827
669,1797,109,3486
670,827,3475,3253
671,3483,827,3253
672,3472,3025,2752
673,827,109,1797
674,827,109,3475
675,827,3475,3253
676,827,3483,3475
677,827,3475,3253
678,827,109,1797
679,2752,1797,181
680,3472,1435,3475
681,109,3025,2752
682,1797,3486,109
683,2752,109,3025
684,827,3475,1435
685,827,109,3025
686,3483,1797,3253
687,827,3475,1400
688,827,3475,109
689,827,3475,3472
690,3483,1797,3253
691,1797,109,3483
692,827,3475,3472
693,1797,3483,109
694,827,3475,1435
695,3475,827,3253
696,3483,1797,3168
697,1797,3483,3486
698,3025,3472,2752
699,3025,2752,2315
700,3483,1797,3253
701,3025,2752,2315
702,3483,3253,3168
703,3025,3472,2752
704,3472,1435,3475
705,1797,3483,109
706,827,3475,3483
707,3025,2752,2315
708,3472,1435,3025
709,3483,3253,827
710,3483,1797,3168
711,1797,109,2752
712,827,3475,3483
713,1797,827,109
714,3483,1797,3168
715,3483,827,1797
716,827,3475,3472
717,3475,827,1435
718,3025,109,2752
719,109,3025,2752
720,1797,3483,827
721,827,3475,109
722,3483,3253,827
723,1797,2752,109
724,827,3475,1435
725,827,109,3475
726,3483,3253,827
727,3025,181,2752
728,109,3025,2752
729,3483,3253,1797
730,3472,3025,1435
731,3483,1797,3168
732,827,3475,3472
733,827,3475,3253
734,1797,109,3486
735,3475,827,1435
736,1797,3483,3484
737,1797,109,2752
738,3025,2752,2315
739,3472,827,3475
740,3483,3253,827
741,3483,1797,3168
742,827,3475,3472
743,827,3475,1400
744,3472,827,3475
745,827,3472,3475
746,1797,3483,827
747,3025,2752,109
748,3472,1435,1044
749,1797,109,827
750,1797,109,2752
751,827,1797,3475
752,1797,109,2752
753,3472,827,3475
754,3483,3253,827
755,3025,2752,2315
756,827,3475,3253
757,1797,3483,109
758,3025,2752,109
759,1797,3483,109
760,3472,827,3475
761,1797,109,3486
762,827,3475,3483
763,827,3483,3475
764,827,3472,3475
765,3025,2752,109
766,827,3475,3472
767,3025,109,2752
768,3483,827,3253
769,3025,2752,109
770,3472,3025,1435
771,3025,2752,2315
772,3483,3253,3168
773,827,3475,3253
774,827,3475,3253
775,3472,1435,3025
776,827,3475,3472
777,3483,3253,827
778,2752,3025,109
779,827,3475,3253
780,3483,1797,3168
781,1797,3483,827
782,3483,1797,3168
783,3483,1797,3168
784,3483,827,3253
785,3025,2752,2315
786,827,3483,3475
787,109,3025,2752
788,1797,109,827
789,827,109,3475
790,827,3472,3475
791,827,109,1797
792,827,3475,3483
793,3472,1435,827
794,1797,109,3486
795,3472,3025,1435
796,3483,1797,3168
797,1797,3483,186
798,3483,1797,3168
799,1435,3475,827
800,3483,3253,827
801,3483,3253,827
802,3483,3253,827
803,827,3475,3472
804,827,3475,3472
805,2752,3025,2315
806,3025,2752,181
807,1797,2752,109
808,3472,3025,827
809,3025,2752,2315
810,827,3483,3475
811,827,3483,3475
812,3472,1435,3475
813,1797,3483,827
814,3472,1435,3475
815,1797,109,827
816,827,109,1797
817,3472,1435,827
818,1797,3483,3168
819,1797,3483,827
820,3475,827,1435
821,827,3475,3483
