u_id,i_id,rating,timestamp
235,847,1,20/09/1997 6:11
237,94,1,20/09/1997 6:11
237,90,1,20/09/1997 6:11
238,94,2,20/09/1997 6:11
239,151,1,20/09/1997 6:11
241,171,1,20/09/1997 6:11
242,172,1,20/09/1997 6:11
244,100,1,20/09/1997 6:11
246,115,1,20/09/1997 6:11
247,151,1,20/09/1997 6:11
251,3171,1,20/09/1997 6:11
251,172,1,20/09/1997 6:11
252,167,2,20/09/1997 6:11
252,890,2,20/09/1997 6:11
255,2062,2,20/09/1997 6:11
259,75,2,20/09/1997 6:11
259,167,1,20/09/1997 6:11
259,3482,1,20/09/1997 6:11
259,205,1,20/09/1997 6:11
260,94,2,20/09/1997 6:11
260,75,2,20/09/1997 6:11
260,172,2,20/09/1997 6:11
263,75,1,20/09/1997 6:11
264,3275,1,20/09/1997 6:11
272,94,2,20/09/1997 6:11
272,75,2,20/09/1997 6:11
272,98,2,20/09/1997 6:11
272,83,2,20/09/1997 6:11
272,2813,2,20/09/1997 6:11
272,84,2,20/09/1997 6:11
272,2062,2,20/09/1997 6:11
272,95,2,20/09/1997 6:11
272,278,2,20/09/1997 6:11
275,94,1,20/09/1997 6:11
277,94,1,20/09/1997 6:11
281,115,1,20/09/1997 6:11
287,97,1,20/09/1997 6:11
292,94,2,20/09/1997 6:11
295,97,1,20/09/1997 6:11
298,827,1,20/09/1997 6:11
299,91,1,20/09/1997 6:11
299,151,1,20/09/1997 6:11
299,106,2,20/09/1997 6:11
300,167,2,20/09/1997 6:11
308,3275,1,20/09/1997 6:11
309,171,1,20/09/1997 6:11
314,2315,1,20/09/1997 6:11
315,2813,2,20/09/1997 6:11
323,107,1,20/09/1997 6:11
325,151,1,20/09/1997 6:11
325,115,1,20/09/1997 6:11
331,151,1,20/09/1997 6:11
332,97,1,20/09/1997 6:11
339,75,2,20/09/1997 6:11
340,82,2,20/09/1997 6:11
341,94,2,20/09/1997 6:11
341,98,2,20/09/1997 6:11
343,98,2,20/09/1997 6:11
344,172,1,20/09/1997 6:11
348,3275,2,20/09/1997 6:11
349,3483,1,20/09/1997 6:11
350,75,2,20/09/1997 6:11
351,3275,1,20/09/1997 6:11
357,734,1,20/09/1997 6:11
358,115,1,20/09/1997 6:11
365,114,1,20/09/1997 6:11
366,847,1,20/09/1997 6:11
367,75,2,20/09/1997 6:11
367,3275,2,20/09/1997 6:11
367,85,2,20/09/1997 6:11
367,439,2,20/09/1997 6:11
367,3029,2,20/09/1997 6:11
367,3063,2,20/09/1997 6:11
367,3165,2,20/09/1997 6:11
367,3057,2,20/09/1997 6:11
368,82,1,20/09/1997 6:11
369,723,1,20/09/1997 6:11
370,3607,2,20/09/1997 6:11
371,3275,1,20/09/1997 6:11
373,734,1,20/09/1997 6:11
